Expanded Count: 960
Left Bank:  chickens: 17, wolves: 14, boat: 1
Right Bank:  chickens: 82, wolves: 82, boat: 0
Left Bank:  chickens: 16, wolves: 14, boat: 0
Right Bank:  chickens: 83, wolves: 82, boat: 1
Left Bank:  chickens: 17, wolves: 15, boat: 1
Right Bank:  chickens: 82, wolves: 81, boat: 0
Left Bank:  chickens: 16, wolves: 15, boat: 0
Right Bank:  chickens: 83, wolves: 81, boat: 1
Left Bank:  chickens: 18, wolves: 15, boat: 1
Right Bank:  chickens: 81, wolves: 81, boat: 0
Left Bank:  chickens: 17, wolves: 15, boat: 0
Right Bank:  chickens: 82, wolves: 81, boat: 1
Left Bank:  chickens: 18, wolves: 16, boat: 1
Right Bank:  chickens: 81, wolves: 80, boat: 0
Left Bank:  chickens: 17, wolves: 16, boat: 0
Right Bank:  chickens: 82, wolves: 80, boat: 1
Left Bank:  chickens: 19, wolves: 16, boat: 1
Right Bank:  chickens: 80, wolves: 80, boat: 0
Left Bank:  chickens: 18, wolves: 16, boat: 0
Right Bank:  chickens: 81, wolves: 80, boat: 1
Left Bank:  chickens: 19, wolves: 17, boat: 1
Right Bank:  chickens: 80, wolves: 79, boat: 0
Left Bank:  chickens: 18, wolves: 17, boat: 0
Right Bank:  chickens: 81, wolves: 79, boat: 1
Left Bank:  chickens: 20, wolves: 17, boat: 1
Right Bank:  chickens: 79, wolves: 79, boat: 0
Left Bank:  chickens: 19, wolves: 17, boat: 0
Right Bank:  chickens: 80, wolves: 79, boat: 1
Left Bank:  chickens: 20, wolves: 18, boat: 1
Right Bank:  chickens: 79, wolves: 78, boat: 0
Left Bank:  chickens: 19, wolves: 18, boat: 0
Right Bank:  chickens: 80, wolves: 78, boat: 1
Left Bank:  chickens: 21, wolves: 18, boat: 1
Right Bank:  chickens: 78, wolves: 78, boat: 0
Left Bank:  chickens: 20, wolves: 18, boat: 0
Right Bank:  chickens: 79, wolves: 78, boat: 1
Left Bank:  chickens: 21, wolves: 19, boat: 1
Right Bank:  chickens: 78, wolves: 77, boat: 0
Left Bank:  chickens: 20, wolves: 19, boat: 0
Right Bank:  chickens: 79, wolves: 77, boat: 1
Left Bank:  chickens: 22, wolves: 19, boat: 1
Right Bank:  chickens: 77, wolves: 77, boat: 0
Left Bank:  chickens: 21, wolves: 19, boat: 0
Right Bank:  chickens: 78, wolves: 77, boat: 1
Left Bank:  chickens: 22, wolves: 20, boat: 1
Right Bank:  chickens: 77, wolves: 76, boat: 0
Left Bank:  chickens: 21, wolves: 20, boat: 0
Right Bank:  chickens: 78, wolves: 76, boat: 1
Left Bank:  chickens: 23, wolves: 20, boat: 1
Right Bank:  chickens: 76, wolves: 76, boat: 0
Left Bank:  chickens: 22, wolves: 20, boat: 0
Right Bank:  chickens: 77, wolves: 76, boat: 1
Left Bank:  chickens: 23, wolves: 21, boat: 1
Right Bank:  chickens: 76, wolves: 75, boat: 0
Left Bank:  chickens: 22, wolves: 21, boat: 0
Right Bank:  chickens: 77, wolves: 75, boat: 1
